>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-4.92053e-11 	 0.1	-20323013.984
5.00000e-01	4.36690e-10 	 0.1	2289953.972
1.00000e+00	1.74605e-10 	 0.1	5727212.852
1.50000e+00	1.24300e-10 	 0.1	8045052.293
2.00000e+00	1.15885e-08 	 0.1	86292.445
2.50000e+00	1.12286e-08 	 0.1	89058.298
3.00000e+00	1.15381e-08 	 0.1	86669.382
3.50000e+00	1.15480e-08 	 0.1	86595.081
4.00000e+00	1.15356e-08 	 0.1	86688.165
4.50000e+00	1.15352e-08 	 0.1	86691.171
5.00000e+00	1.15432e-08 	 0.1	86631.09
5.50000e+00	1.15445e-08 	 0.1	86621.335
6.00000e+00	1.15671e-08 	 0.1	86452.093
6.50000e+00	1.15508e-08 	 0.1	86574.09
7.00000e+00	1.15437e-08 	 0.1	86627.338
7.50000e+00	1.15302e-08 	 0.1	86728.764
8.00000e+00	1.15530e-08 	 0.1	86557.604
8.50000e+00	1.15661e-08 	 0.1	86459.567
9.00000e+00	1.15546e-08 	 0.1	86545.618
9.50000e+00	1.15372e-08 	 0.1	86676.143
1.00000e+01	1.15449e-08 	 0.1	86618.334
1.05000e+01	1.15405e-08 	 0.1	86651.358
1.10000e+01	1.15495e-08 	 0.1	86583.835
1.15000e+01	1.15509e-08 	 0.1	86573.341
1.20000e+01	1.15562e-08 	 0.1	86533.636
>>head<<V(12) I(12) 	 lux 	 CurrCoeff.
1.20000e+01	-3.07102e-11 	 0.1	-32562471.101
1.15000e+01	-4.37892e-10 	 0.1	-2283668.119
1.10000e+01	-2.22536e-10 	 0.1	-4493654.959
1.05000e+01	-9.98083e-09 	 0.1	-100192.068
1.00000e+01	-9.99101e-09 	 0.1	-100089.981
9.50000e+00	-9.98618e-09 	 0.1	-100138.391
9.00000e+00	-9.98628e-09 	 0.1	-100137.388
8.50000e+00	-9.98125e-09 	 0.1	-100187.852
8.00000e+00	-2.12216e-10 	 0.1	-4712180.043
7.50000e+00	-1.08281e-08 	 0.1	-92352.306
7.00000e+00	-1.08287e-08 	 0.1	-92347.188
6.50000e+00	-1.08171e-08 	 0.1	-92446.219
6.00000e+00	-1.08037e-08 	 0.1	-92560.882
5.50000e+00	-1.08988e-08 	 0.1	-91753.221
5.00000e+00	-1.08424e-08 	 0.1	-92230.502
4.50000e+00	-1.08822e-08 	 0.1	-91893.183
4.00000e+00	-1.13767e-08 	 0.1	-87898.951
3.50000e+00	-1.07019e-08 	 0.1	-93441.352
3.00000e+00	-1.03192e-08 	 0.1	-96906.737
2.50000e+00	-1.06363e-08 	 0.1	-94017.657
2.00000e+00	3.94363e-11 	 0.1	25357348.433
1.50000e+00	-6.08078e-10 	 0.1	-1644525.867
1.00000e+00	-1.41686e-10 	 0.1	-7057860.339
5.00000e-01	-9.75087e-09 	 0.1	-102554.952
0.00000e+00	-9.16739e-09 	 0.1	-109082.302
