>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-6.10272e-07 	 0.1	-1638.614
5.00000e-01	3.34563e-03 	 0.1	0.299
1.00000e+00	3.28744e-03 	 0.1	0.304
1.50000e+00	1.48106e-03 	 0.1	0.675
2.00000e+00	3.25299e-03 	 0.1	0.307
2.50000e+00	3.96974e-04 	 0.1	2.519
3.00000e+00	3.84737e-04 	 0.1	2.599
3.50000e+00	3.90500e-04 	 0.1	2.561
4.00000e+00	1.21224e-04 	 0.1	8.249
4.50000e+00	1.56301e-04 	 0.1	6.398
5.00000e+00	1.50936e-04 	 0.1	6.625
5.50000e+00	1.69154e-04 	 0.1	5.912
6.00000e+00	2.70525e-04 	 2.1	77.627
6.50000e+00	4.61591e-04 	 6.1	132.152
7.00000e+00	9.09043e-04 	 14.2	156.208
7.50000e+00	1.70836e-03 	 31.3	183.217
8.00000e+00	3.03134e-03 	 56.4	186.056
8.50000e+00	4.97779e-03 	 96.7	194.263
9.00000e+00	7.57977e-03 	 151.1	199.346
9.50000e+00	1.08978e-02 	 326.2	299.326
1.00000e+01	1.47932e-02 	 421.26	284.766
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.50964e-02 	 356.22	235.964
9.50000e+00	1.12027e-02 	 247.16	220.625
9.00000e+00	7.61895e-03 	 0.0	0.0
8.50000e+00	4.83556e-03 	 162.11	335.246
8.00000e+00	2.79442e-03 	 51.4	183.938
7.50000e+00	1.46154e-03 	 26.3	179.947
7.00000e+00	6.86795e-04 	 13.2	192.197
6.50000e+00	2.96519e-04 	 6.1	205.72
6.00000e+00	1.22893e-04 	 2.1	170.88
5.50000e+00	5.09832e-05 	 1.1	215.757
5.00000e+00	2.96315e-05 	 0.1	33.748
4.50000e+00	1.68786e-05 	 0.1	59.247
4.00000e+00	1.18699e-05 	 0.1	84.247
3.50000e+00	8.83009e-06 	 0.1	113.249
3.00000e+00	6.26951e-06 	 0.1	159.502
2.50000e+00	4.30230e-06 	 0.1	232.434
2.00000e+00	2.86929e-06 	 0.1	348.518
1.50000e+00	1.75072e-06 	 0.1	571.194
1.00000e+00	9.69743e-07 	 0.1	1031.201
5.00000e-01	3.50895e-07 	 0.1	2849.855
0.00000e+00	-8.74264e-10 	 0.1	-1143819.258
