>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
4.71000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.70000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.69000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.68000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.67000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.66000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.65000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
4.64000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.63000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.62000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.61000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.60000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.59000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.58000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.57000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.56000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.55000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
4.54000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.53000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.52000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.51000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.50000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.49000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.48000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.47000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.46000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.45000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.44000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.43000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.42000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.41000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.40000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.39000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.38000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.37000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
4.36000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.35000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.34000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.33000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.32000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.31000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.30000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.29000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.28000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.27000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.26000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.25000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.24000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.23000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.22000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.21000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.20000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.19000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.18000e+00	9.99986e-02 	 0 	 0E+00 	 2.222191E+04 	 0E+00
4.17000e+00	9.99985e-02 	 0 	 0E+00 	 2.222189E+04 	 0E+00
4.16000e+00	9.99987e-02 	 0 	 0E+00 	 2.222193E+04 	 0E+00
4.15000e+00	9.99986e-02 	 0 	 0E+00 	 2.222191E+04 	 0E+00
4.14000e+00	9.99986e-02 	 0 	 0E+00 	 2.222191E+04 	 0E+00
4.13000e+00	9.99987e-02 	 0 	 0E+00 	 2.222193E+04 	 0E+00
4.12000e+00	9.99987e-02 	 0 	 0E+00 	 2.222193E+04 	 0E+00
4.11000e+00	9.99987e-02 	 0 	 0E+00 	 2.222193E+04 	 0E+00
4.10000e+00	9.99987e-02 	 0 	 0E+00 	 2.222193E+04 	 0E+00
4.09000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.08000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
4.07000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.06000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
4.05000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.04000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.03000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.02000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
4.01000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
4.00000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.99000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.98000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.97000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.96000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.95000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.94000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.93000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.92000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.91000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.90000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.89000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.88000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.87000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.86000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.85000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.84000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.83000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.82000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.81000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.80000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.79000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.78000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.77000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.76000e+00	9.99984e-02 	 0 	 0E+00 	 2.222187E+04 	 0E+00
3.75000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.74000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.73000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.72000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.71000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.70000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.69000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.68000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.67000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.66000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.65000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.64000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.63000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.62000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.61000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.60000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.59000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.58000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.57000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.56000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.55000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.54000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.53000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.52000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.51000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.50000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.49000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.48000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.47000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.46000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.45000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.44000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.43000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.42000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.41000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.40000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.39000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.38000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.37000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.36000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.35000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.34000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.33000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.32000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.31000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.30000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.29000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.28000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.27000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.26000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.25000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.24000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.23000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.22000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.21000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.20000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.19000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.18000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.17000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.16000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.15000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.14000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.13000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.12000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.11000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
3.10000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.09000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.08000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.07000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
3.06000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.05000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.04000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.03000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.02000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
3.01000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
3.00000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.99000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.98000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.97000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.96000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.95000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.94000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.93000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.92000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.91000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.90000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.89000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.88000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.87000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.86000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.85000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.84000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.83000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.82000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.81000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.80000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.79000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.78000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.77000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
2.76000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.75000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.74000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.73000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.72000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.71000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.70000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.69000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.68000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.67000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.66000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.65000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.64000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.63000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.62000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.61000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.60000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.59000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.58000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.57000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.56000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.55000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.54000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.53000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.52000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.51000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.50000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.49000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.48000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.47000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.46000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.45000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.44000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.43000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.42000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.41000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.40000e+00	9.99977e-02 	 0 	 0E+00 	 2.222171E+04 	 0E+00
2.39000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.38000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.37000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.36000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.35000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.34000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.33000e+00	9.99977e-02 	 0 	 0E+00 	 2.222171E+04 	 0E+00
2.32000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.31000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.30000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.29000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.28000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.27000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.26000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.25000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.24000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.23000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.22000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.21000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.20000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
2.19000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.18000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.17000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
2.16000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.15000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.14000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.13000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.12000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.11000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.10000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.09000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.08000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
2.07000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_091.txt
