>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 6.4
0.00000e+00	-3.93182e-11	-4.11043e-11	1.00000e+00 	 6.4
1.00000e+00	2.85375e-07	2.91012e-07	1.00000e+00 	 6.4
2.00000e+00	9.15445e-07	7.04990e-07	1.00000e+00 	 6.4
3.00000e+00	1.33473e-06	1.32823e-06	1.00000e+00 	 6.4
4.00000e+00	3.00453e-06	2.87030e-06	1.00000e+00 	 6.4
5.00000e+00	7.51177e-06	7.49967e-06	1.00000e+00 	 6.4
6.00000e+00	1.98967e-05	1.99731e-05	1.00000e+00 	 6.4
7.00000e+00	6.97067e-05	7.53273e-05	1.00000e+00 	 7.4
8.00000e+00	4.83128e-04	4.92919e-04	1.00000e+00 	 8.4
9.00000e+00	2.33170e-03	2.33805e-03	1.00000e+00 	 28.5
1.00000e+01	7.56251e-03	7.61708e-03	1.00000e+00 	 84.9
1.10000e+01	1.78454e-02	1.79260e-02	1.00000e+00 	 200.17
1.20000e+01	3.27619e-02	3.30158e-02	1.00000e+00 	 368.29
1.30000e+01	5.19771e-02	5.23713e-02	1.00000e+00 	 598.44
1.40000e+01	7.46609e-02	7.51874e-02	1.00000e+00 	 849.6
1.50000e+01	9.99042e-02	9.99963e-02	1.00000e+00 	 1043.74
1.60000e+01	9.99963e-02	9.99964e-02	1.00000e+00 	 914.71
1.70000e+01	9.99963e-02	9.99964e-02	1.00000e+00 	 794.65
1.80000e+01	9.99962e-02	9.99962e-02	1.00000e+00 	 702.61
1.90000e+01	9.99961e-02	9.99962e-02	1.00000e+00 	 629.58
2.00000e+01	9.99963e-02	9.99963e-02	1.00000e+00 	 576.57
>>head<<VGS(20) IDS(20) IGS(20) VDS(20) 	 532.54
2.00000e+01	9.99963e-02	9.99964e-02	-1.00000e+00 	 511.54
1.90000e+01	9.99963e-02	9.99964e-02	-1.00000e+00 	 486.54
1.80000e+01	9.99960e-02	9.99962e-02	-1.00000e+00 	 462.54
1.70000e+01	9.99962e-02	9.99963e-02	-1.00000e+00 	 452.54
1.60000e+01	9.99962e-02	9.99963e-02	-1.00000e+00 	 444.54
1.50000e+01	9.99963e-02	9.99963e-02	-1.00000e+00 	 438.55
1.40000e+01	8.88037e-02	8.84668e-02	-1.00000e+00 	 369.49
1.30000e+01	6.62064e-02	6.57890e-02	-1.00000e+00 	 283.38
1.20000e+01	4.45040e-02	4.42232e-02	-1.00000e+00 	 203.28
1.10000e+01	2.65168e-02	2.62929e-02	-1.00000e+00 	 136.19
1.00000e+01	1.26586e-02	1.25114e-02	-1.00000e+00 	 81.12
9.00000e+00	4.16697e-03	4.13121e-03	-1.00000e+00 	 40.6
8.00000e+00	9.13908e-04	9.02299e-04	-1.00000e+00 	 16.3
7.00000e+00	1.77428e-04	1.65190e-04	-1.00000e+00 	 2.1
6.00000e+00	3.72540e-05	3.67790e-05	-1.00000e+00 	 1.1
5.00000e+00	1.18740e-05	1.17625e-05	-1.00000e+00 	 1.1
4.00000e+00	4.03878e-06	4.18247e-06	-1.00000e+00 	 0.1
3.00000e+00	1.40445e-06	1.51262e-06	-1.00000e+00 	 0.1
2.00000e+00	7.24597e-07	7.28273e-07	-1.00000e+00 	 0.1
1.00000e+00	2.96015e-07	3.02191e-07	-1.00000e+00 	 0.1
0.00000e+00	-1.74738e-07	-4.32954e-09	-1.00000e+00 	 0.1
>>END<< 	 0.1
