>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.58422e-11 	 0.1	-27900073.098
5.00000e-01	6.47817e-11 	 0.1	15436458.136
1.00000e+00	1.14623e-07 	 0.1	8724.253
1.50000e+00	2.73606e-07 	 0.1	3654.891
2.00000e+00	4.62659e-07 	 0.1	2161.419
2.50000e+00	8.90066e-07 	 0.1	1123.512
3.00000e+00	1.86176e-06 	 0.1	537.126
3.50000e+00	4.03585e-06 	 0.1	247.779
4.00000e+00	8.47752e-06 	 0.1	117.959
4.50000e+00	2.87529e-05 	 0.1	34.779
5.00000e+00	8.59336e-05 	 1.1	128.006
5.50000e+00	2.52763e-04 	 2.1	83.082
6.00000e+00	4.49840e-04 	 4.1	91.144
6.50000e+00	7.19744e-04 	 7.1	98.646
7.00000e+00	1.06833e-03 	 12.1	113.261
7.50000e+00	1.43925e-03 	 20.2	140.351
8.00000e+00	1.93352e-03 	 31.2	161.364
8.50000e+00	2.53792e-03 	 48.3	190.313
9.00000e+00	3.29318e-03 	 74.4	225.921
9.50000e+00	4.21446e-03 	 168.8	400.526
1.00000e+01	5.30459e-03 	 236.1	445.086
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	5.17920e-03 	 218.1	421.108
9.50000e+00	4.04964e-03 	 150.7	372.132
9.00000e+00	3.05323e-03 	 100.5	329.16
8.50000e+00	2.26459e-03 	 64.3	283.937
8.00000e+00	1.65671e-03 	 39.2	236.614
7.50000e+00	1.19488e-03 	 24.2	202.531
7.00000e+00	8.47964e-04 	 15.1	178.074
6.50000e+00	5.91703e-04 	 9.1	153.793
6.00000e+00	4.05934e-04 	 6.1	150.271
5.50000e+00	2.69958e-04 	 3.1	114.833
5.00000e+00	1.74225e-04 	 1.1	63.137
4.50000e+00	1.16495e-04 	 1.1	94.425
4.00000e+00	6.95400e-05 	 0.1	14.38
3.50000e+00	6.24026e-05 	 0.1	16.025
3.00000e+00	3.98357e-05 	 0.1	25.103
2.50000e+00	5.87361e-05 	 0.1	17.025
2.00000e+00	4.06193e-05 	 0.1	24.619
1.50000e+00	2.07567e-05 	 0.1	48.177
1.00000e+00	9.76556e-06 	 0.1	102.401
5.00000e-01	3.69495e-06 	 0.1	270.64
0.00000e+00	-1.08244e-08 	 0.1	-92383.873
